ZVEZ,SMAL
ABRD,TQBR
ACKO,TQBR
AFKS,TQBR
AFLT,TQBR
AGRO,TQBR
AKRN,TQBR
ALBK,TQBR
ALNU,TQBR
ALRS,TQBR
AMEZ,TQBR
APTK,TQBR
AQUA,TQBR
ARSA,TQBR
ASSB,TQBR
AVAN,TQBR
BANE,TQBR
BANEP,TQBR
BELU,TQBR
BISV,TQBR
BISVP,TQBR
BLNG,TQBR
BRZL,TQBR
BSPB,TQBR
BSPBP,TQBR
CBOM,TQBR
CHEP,TQBR
CHGZ,TQBR
CHKZ,TQBR
CHMF,TQBR
CHMK,TQBR
CNTL,TQBR
CNTLP,TQBR
DERZP,TQBR
DIOD,TQBR
DSKY,TQBR
DVEC,TQBR
DZRD,TQBR
DZRDP,TQBR
EELT,TQBR
ELTZ,TQBR
ENPG,TQBR
ENRU,TQBR
ETLN,TQBR
FEES,TQBR
FESH,TQBR
FIVE,TQBR
FLOT,TQBR
GAZA,TQBR
GAZAP,TQBR
GAZC,TQBR
GAZP,TQBR
GAZS,TQBR
GAZT,TQBR
GCHE,TQBR
GEMA,TQBR
GLTR,TQBR
GMKN,TQBR
GTRK,TQBR
GTSS,TQBR
HALS,TQBR
HHRU,TQBR
HIMC,TQBR
HIMCP,TQBR
HYDR,TQBR
IGST,TQBR
IGSTP,TQBR
INGR,TQBR
IRAO,TQBR
IRGZ,TQBR
IRKT,TQBR
ISKJ,TQBR
JNOS,TQBR
JNOSP,TQBR
KAZT,TQBR
KAZTP,TQBR
KBSB,TQBR
KBTK,TQBR
KCHE,TQBR
KCHEP,TQBR
KGKC,TQBR
KGKCP,TQBR
KLSB,TQBR
KMAZ,TQBR
KMEZ,TQBR
KMTZ,TQBR
KOGK,TQBR
KRKN,TQBR
KRKNP,TQBR
KRKO,TQBR
KRKOP,TQBR
KROT,TQBR
KROTP,TQBR
KRSB,TQBR
KRSBP,TQBR
KSGR,TQBR
KTSB,TQBR
KTSBP,TQBR
KUBE,TQBR
KUNF,TQBR
KUZB,TQBR
KZMS,TQBR
KZOS,TQBR
KZOSP,TQBR
LIFE,TQBR
LKOH,TQBR
LNTA,TQBR
LNZL,TQBR
LNZLP,TQBR
